cod_tratamiento,tratamiento,cultivo,altura_hojas_cm,num_hojas,diametro_cm,longitud_raiz_cm,peso_fresco_g
T1,INIA SUMAC-YUYAYQUI,Lechuga crespa,14.0,22,19.0,19.0,228.0
T1,INIA SUMAC-YUYAYQUI,Lechuga crespa,16.0,12,23.0,21.0,227.0
T1,INIA SUMAC-YUYAYQUI,Lechuga crespa,13.0,19,20.3,23.7,252.0
T1,INIA SUMAC-YUYAYQUI,Lechuga crespa,16.0,15,21.0,22.4,248.0
T1,INIA SUMAC-YUYAYQUI,Lechuga crespa,13.3,14,19.0,22.1,238.0
T1,INIA SUMAC-YUYAYQUI,Lechuga seda,12.9,26,20.3,24.2,377.0
T1,INIA SUMAC-YUYAYQUI,Lechuga seda,16.0,32,19.7,18.6,390.0
T1,INIA SUMAC-YUYAYQUI,Lechuga seda,10.7,24,18.6,26.8,340.0
T1,INIA SUMAC-YUYAYQUI,Lechuga seda,13.2,23,20.3,25.1,349.0
T1,INIA SUMAC-YUYAYQUI,Lechuga seda,9.8,22,20.6,18.6,350.0
T1,INIA SUMAC-YUYAYQUI,Acelga,21.4,15,9.5,22.6,134.0
T1,INIA SUMAC-YUYAYQUI,Acelga,19.4,11,13.2,28.1,155.0
T1,INIA SUMAC-YUYAYQUI,Acelga,20.0,8,9.6,25.4,230.8
T1,INIA SUMAC-YUYAYQUI,Acelga,18.4,7,15.5,24.3,107.0
T1,INIA SUMAC-YUYAYQUI,Acelga,19.3,8,12.7,23.9,162.6
T1,INIA SUMAC-YUYAYQUI,Cebolla china,32.7,11,4.21,17.6,76.8
T1,INIA SUMAC-YUYAYQUI,Cebolla china,34.3,12,4.48,18.3,82.4
T1,INIA SUMAC-YUYAYQUI,Cebolla china,31.8,10,4.03,16.9,73.4
T1,INIA SUMAC-YUYAYQUI,Cebolla china,33.4,11,4.32,17.4,78.2
T1,INIA SUMAC-YUYAYQUI,Cebolla china,35.1,12,4.71,19.1,85.2
T2,FAO,Lechuga seda,12.3,29,20.6,16.1,242.0
T2,FAO,Lechuga seda,11.6,29,20.3,19.5,269.0
T2,FAO,Lechuga seda,12.6,32,20.6,20.6,285.0
T2,FAO,Lechuga seda,12.1,26,21.3,13.4,228.0
T2,FAO,Lechuga crespa,16.2,26,16.8,23.4,251.0
T2,FAO,Lechuga crespa,16.8,26,19.4,18.4,264.0
T2,FAO,Lechuga crespa,17.7,26,18.2,18.6,261.0
T2,FAO,Lechuga crespa,15.4,27,18.8,20.6,187.0
T2,FAO,Lechuga crespa,16.7,24,18.3,21.2,331.0
T2,FAO,Acelga,21.9,13,21.5,24.7,155.0
T2,FAO,Acelga,20.6,13,25.6,29.4,148.0
T2,FAO,Acelga,32.4,16,29.6,30.5,262.0
T2,FAO,Acelga,15.4,18,24.3,19.6,101.0
T2,FAO,Acelga,22.2,10,30.4,25.7,138.0
T2,FAO,Cebolla china,32.7,11,4.21,17.6,76.8
T2,FAO,Cebolla china,34.3,12,4.48,18.3,82.4
T2,FAO,Cebolla china,31.8,10,4.03,16.9,73.4
T2,FAO,Cebolla china,33.4,11,4.32,17.4,78.2
T2,FAO,Cebolla china,35.1,12,4.71,19.1,85.2
T3,LA MOLINA,Lechuga crespa,15.4,26,21.1,18.9,235.0
T3,LA MOLINA,Lechuga crespa,13.6,24,19.6,20.4,238.0
T3,LA MOLINA,Lechuga crespa,14.0,18,15.7,23.2,205.0
T3,LA MOLINA,Lechuga crespa,16.0,27,18.0,30.7,213.0
T3,LA MOLINA,Lechuga crespa,18.4,23,21.6,12.5,240.0
T3,LA MOLINA,Lechuga seda,14.4,26,22.5,16.1,412.0
T3,LA MOLINA,Lechuga seda,13.2,35,20.5,29.7,371.0
T3,LA MOLINA,Lechuga seda,14.5,29,23.3,22.4,382.0
T3,LA MOLINA,Lechuga seda,13.8,34,23.1,14.4,325.0
T3,LA MOLINA,Lechuga seda,12.9,38,22.0,18.4,359.0
T3,LA MOLINA,Acelga,20.0,7,25.6,18.3,112.0
T3,LA MOLINA,Acelga,21.2,7,28.4,28.7,117.0
T3,LA MOLINA,Acelga,22.0,26,32.4,30.1,171.0
T3,LA MOLINA,Acelga,24.3,11,29.5,22.1,134.0
T3,LA MOLINA,Acelga,20.9,8,28.4,18.4,152.0
T3,LA MOLINA,Cebolla china,24.2,8,2.51,12.3,48.2
T3,LA MOLINA,Cebolla china,23.5,7,2.32,11.8,46.0
T3,LA MOLINA,Cebolla china,25.0,8,2.46,12.1,50.6
T3,LA MOLINA,Cebolla china,22.8,7,2.19,11.4,44.8
T3,LA MOLINA,Cebolla china,24.4,8,2.54,12.0,49.2
T4,HIDROPONIKA,Lechuga crespa,18.1,23,21.6,20.2,217.0
T4,HIDROPONIKA,Lechuga crespa,16.2,28,21.8,22.2,233.0
T4,HIDROPONIKA,Lechuga crespa,15.1,27,17.6,18.3,189.0
T4,HIDROPONIKA,Lechuga crespa,15.9,26,23.6,18.7,289.0
T4,HIDROPONIKA,Lechuga crespa,16.4,32,22.6,22.6,285.0
T4,HIDROPONIKA,Lechuga seda,11.3,39,16.4,19.7,261.0
T4,HIDROPONIKA,Lechuga seda,11.4,45,17.4,16.3,269.0
T4,HIDROPONIKA,Lechuga seda,12.5,46,18.6,15.1,224.0
