,,altura_hojas_cm,altura_hojas_cm,altura_hojas_cm,altura_hojas_cm,altura_hojas_cm,altura_hojas_cm,num_hojas,num_hojas,num_hojas,num_hojas,num_hojas,num_hojas,diametro_cm,diametro_cm,diametro_cm,diametro_cm,diametro_cm,diametro_cm,longitud_raiz_cm,longitud_raiz_cm,longitud_raiz_cm,longitud_raiz_cm,longitud_raiz_cm,longitud_raiz_cm,peso_fresco_g,peso_fresco_g,peso_fresco_g,peso_fresco_g,peso_fresco_g,peso_fresco_g
,,count,mean,std,min,median,max,count,mean,std,min,median,max,count,mean,std,min,median,max,count,mean,std,min,median,max,count,mean,std,min,median,max
cod_tratamiento,tratamiento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T1,FAO,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
T1,HIDROPONIKA,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
T1,INIA SUMAC-YUYAYQUI,20,20.035,8.531691693790554,9.8,17.2,35.1,20,15.7,6.966838745461471,7.0,13.0,32.0,20,14.2025,6.903590884841247,4.03,17.05,23.0,20,21.755000000000003,3.396046463013628,16.9,22.25,28.1,20,209.21999999999997,109.64585863492279,73.4,227.5,390.0
T1,LA MOLINA,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
T2,FAO,19,21.642105263157895,8.67347910391683,11.6,17.7,35.1,19,19.526315789473685,7.883656942284192,10.0,18.0,32.0,19,17.23421052631579,8.668684582891503,4.03,19.4,30.4,19,20.57894736842105,4.410036400374897,13.4,19.5,30.5,19,185.1578947368421,86.07631185168371,73.4,187.0,331.0
T2,HIDROPONIKA,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
T2,INIA SUMAC-YUYAYQUI,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
T2,LA MOLINA,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
T3,FAO,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
T3,HIDROPONIKA,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
T3,INIA SUMAC-YUYAYQUI,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
T3,LA MOLINA,20,18.725,4.517203955872191,12.9,19.2,25.0,20,18.85,11.046671325264505,7.0,20.5,38.0,20,18.186,10.147024142445332,2.19,21.35,32.4,20,19.195,6.620659451969069,11.4,18.4,30.7,20,195.24,123.60082779487742,44.8,188.0,412.0
T4,FAO,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
T4,HIDROPONIKA,20,16.75,3.626438008787541,11.3,16.85,24.2,20,22.9,16.169822444749872,5.0,21.5,56.0,20,16.569499999999998,9.478809871442056,1.61,18.9,32.7,20,17.715,5.51440935425688,9.5,18.5,26.8,20,163.35999999999999,94.82419411454909,33.6,175.5,289.0
T4,INIA SUMAC-YUYAYQUI,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
T4,LA MOLINA,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
