,,,altura_hojas_cm,altura_hojas_cm,altura_hojas_cm,altura_hojas_cm,altura_hojas_cm,altura_hojas_cm,num_hojas,num_hojas,num_hojas,num_hojas,num_hojas,num_hojas,diametro_cm,diametro_cm,diametro_cm,diametro_cm,diametro_cm,diametro_cm,longitud_raiz_cm,longitud_raiz_cm,longitud_raiz_cm,longitud_raiz_cm,longitud_raiz_cm,longitud_raiz_cm,peso_fresco_g,peso_fresco_g,peso_fresco_g,peso_fresco_g,peso_fresco_g,peso_fresco_g
,,,count,mean,std,min,median,max,count,mean,std,min,median,max,count,mean,std,min,median,max,count,mean,std,min,median,max,count,mean,std,min,median,max
cod_tratamiento,tratamiento,cultivo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T1,FAO,Acelga,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
T1,FAO,Cebolla china,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
T1,FAO,Lechuga crespa,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
T1,FAO,Lechuga seda,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
T1,HIDROPONIKA,Acelga,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
T1,HIDROPONIKA,Cebolla china,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
T1,HIDROPONIKA,Lechuga crespa,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
T1,HIDROPONIKA,Lechuga seda,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
T1,INIA SUMAC-YUYAYQUI,Acelga,5,19.7,1.1090536506409412,18.4,19.4,21.4,5,9.8,3.271085446759226,7.0,8.0,15.0,5,12.1,2.5563646062328433,9.5,12.7,15.5,5,24.86,2.0695410119154443,22.6,24.3,28.1,5,157.88,46.11650463771078,107.0,155.0,230.8
T1,INIA SUMAC-YUYAYQUI,Cebolla china,5,33.46,1.297304898626378,31.8,33.4,35.1,5,11.2,0.8366600265340757,10.0,11.0,12.0,5,4.35,0.25951878544721974,4.03,4.32,4.71,5,17.86,0.856154191720161,16.9,17.6,19.1,5,79.2,4.654030511288038,73.4,78.2,85.2
T1,INIA SUMAC-YUYAYQUI,Lechuga crespa,5,14.459999999999999,1.4518953130305228,13.0,14.0,16.0,5,16.4,4.03732584763727,12.0,15.0,22.0,5,20.46,1.6607227342335023,19.0,20.3,23.0,5,21.64,1.761533422901762,19.0,22.1,23.7,5,238.6,11.34900876728889,227.0,238.0,252.0
T1,INIA SUMAC-YUYAYQUI,Lechuga seda,5,12.52,2.420123963767145,9.8,12.9,16.0,5,25.4,3.9749213828703573,22.0,24.0,32.0,5,19.9,0.7968688725254611,18.6,20.3,20.6,5,22.660000000000004,3.8220413393892008,18.6,24.2,26.8,5,361.2,21.229696182470438,340.0,350.0,390.0
T1,LA MOLINA,Acelga,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
T1,LA MOLINA,Cebolla china,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
T1,LA MOLINA,Lechuga crespa,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
T1,LA MOLINA,Lechuga seda,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
T2,FAO,Acelga,5,22.5,6.174139616173252,15.4,21.9,32.4,5,14.0,3.082207001484488,10.0,13.0,18.0,5,26.28,3.715777173082369,21.5,25.6,30.4,5,25.98,4.317059184213253,19.6,25.7,30.5,5,160.8,60.28017916363554,101.0,148.0,262.0
T2,FAO,Cebolla china,5,33.46,1.297304898626378,31.8,33.4,35.1,5,11.2,0.8366600265340757,10.0,11.0,12.0,5,4.35,0.25951878544721974,4.03,4.32,4.71,5,17.86,0.856154191720161,16.9,17.6,19.1,5,79.2,4.654030511288038,73.4,78.2,85.2
T2,FAO,Lechuga crespa,5,16.56,0.8443932733033815,15.4,16.7,17.7,5,25.8,1.0954451150103324,24.0,26.0,27.0,5,18.3,0.9643650760992942,16.8,18.3,19.4,5,20.44,2.0562101059959796,18.4,20.6,23.4,5,258.8,51.13902619330955,187.0,261.0,331.0
T2,FAO,Lechuga seda,4,12.15,0.4203173404306165,11.6,12.2,12.6,4,29.0,2.449489742783178,26.0,29.0,32.0,4,20.700000000000003,0.4242640687119273,20.3,20.6,21.3,4,17.400000000000002,3.2832910318764013,13.4,17.8,20.6,4,256.0,25.755258362775812,228.0,255.5,285.0
T2,HIDROPONIKA,Acelga,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
T2,HIDROPONIKA,Cebolla china,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
T2,HIDROPONIKA,Lechuga crespa,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
T2,HIDROPONIKA,Lechuga seda,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
T2,INIA SUMAC-YUYAYQUI,Acelga,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
T2,INIA SUMAC-YUYAYQUI,Cebolla china,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
T2,INIA SUMAC-YUYAYQUI,Lechuga crespa,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
T2,INIA SUMAC-YUYAYQUI,Lechuga seda,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
T2,LA MOLINA,Acelga,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
T2,LA MOLINA,Cebolla china,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
T2,LA MOLINA,Lechuga crespa,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
