scope,cultivo,variable,trat_1,trat_2,trat_1_label,trat_2_label,n_1,n_2,cohens_d,hedges_g,abs_hedges_g
by_crop,Acelga,altura_hojas_cm,T1,T3,INIA,FAO,5,5,-1.4202765540890958,-1.2828304359514413,1.2828304359514413
by_crop,Acelga,altura_hojas_cm,T3,T4,FAO,Hidroponika,5,5,1.1030824646530097,0.9963325487188475,0.9963325487188475
by_crop,Acelga,altura_hojas_cm,T2,T4,La Molina,Hidroponika,5,5,0.7281777748505446,0.6577089579295241,0.6577089579295241
by_crop,Acelga,altura_hojas_cm,T1,T2,INIA,La Molina,5,5,-0.6312489385047769,-0.5701603315527017,0.5701603315527017
by_crop,Acelga,altura_hojas_cm,T1,T4,INIA,Hidroponika,5,5,0.3253542712403641,0.29386837402355465,0.29386837402355465
by_crop,Acelga,altura_hojas_cm,T2,T3,La Molina,FAO,5,5,0.18160224565907299,0.16402783478884012,0.16402783478884012
by_crop,Acelga,diametro_cm,T1,T3,INIA,FAO,5,5,-6.695168203115774,-6.04724869958844,6.04724869958844
by_crop,Acelga,diametro_cm,T1,T2,INIA,La Molina,5,5,-4.446255379973421,-4.0159726012663155,4.0159726012663155
by_crop,Acelga,diametro_cm,T1,T4,INIA,Hidroponika,5,5,-2.8431791503320514,-2.5680327809450785,2.5680327809450785
by_crop,Acelga,diametro_cm,T3,T4,FAO,Hidroponika,5,5,0.9696020427593208,0.8757695870084188,0.8757695870084188
by_crop,Acelga,diametro_cm,T2,T3,La Molina,FAO,5,5,-0.8198743138016401,-0.740531638272449,0.740531638272449
by_crop,Acelga,diametro_cm,T2,T4,La Molina,Hidroponika,5,5,0.3459309404679241,0.31245375268070563,0.31245375268070563
by_crop,Acelga,longitud_raiz_cm,T2,T4,La Molina,Hidroponika,5,5,0.6985828002505937,0.6309780131295685,0.6309780131295685
by_crop,Acelga,longitud_raiz_cm,T1,T4,INIA,Hidroponika,5,5,0.5597965611200167,0.5056227003664667,0.5056227003664667
by_crop,Acelga,longitud_raiz_cm,T2,T3,La Molina,FAO,5,5,0.4918082321768869,0.44421388712751075,0.44421388712751075
by_crop,Acelga,longitud_raiz_cm,T1,T2,INIA,La Molina,5,5,-0.3308458671097394,-0.29882852513137753,0.29882852513137753
by_crop,Acelga,longitud_raiz_cm,T1,T3,INIA,FAO,5,5,0.31723196815536675,0.2865321002693635,0.2865321002693635
by_crop,Acelga,longitud_raiz_cm,T3,T4,FAO,Hidroponika,5,5,0.11865611714193262,0.10717326709593913,0.10717326709593913
by_crop,Acelga,num_hojas,T1,T2,INIA,La Molina,5,5,-1.3215652286078603,-1.1936718193877447,1.1936718193877447
by_crop,Acelga,num_hojas,T1,T4,INIA,Hidroponika,5,5,-0.684148888395309,-0.6179409314538274,0.6179409314538274
by_crop,Acelga,num_hojas,T2,T3,La Molina,FAO,5,5,0.3587804401793931,0.324059752420097,0.324059752420097
by_crop,Acelga,num_hojas,T2,T4,La Molina,Hidroponika,5,5,0.3483708212554078,0.31465751597262637,0.31465751597262637
by_crop,Acelga,num_hojas,T1,T3,INIA,FAO,5,5,-0.3235924008452868,-0.29227700721509775,0.29227700721509775
by_crop,Acelga,num_hojas,T3,T4,FAO,Hidroponika,5,5,-0.12026336448045245,-0.10862497436944092,0.10862497436944092
by_crop,Acelga,peso_fresco_g,T1,T4,INIA,Hidroponika,5,5,0.9256343520173046,0.8360568340801461,0.8360568340801461
by_crop,Acelga,peso_fresco_g,T2,T4,La Molina,Hidroponika,5,5,0.8095480651079389,0.7312047039684609,0.7312047039684609
by_crop,Acelga,peso_fresco_g,T1,T3,INIA,FAO,5,5,0.5596929670195768,0.5055291315015532,0.5055291315015532
by_crop,Acelga,peso_fresco_g,T3,T4,FAO,Hidroponika,5,5,0.5524498818920055,0.49898699009600495,0.49898699009600495
by_crop,Acelga,peso_fresco_g,T2,T3,La Molina,FAO,5,5,0.5127164713718959,0.463098748335906,0.463098748335906
by_crop,Acelga,peso_fresco_g,T1,T2,INIA,La Molina,5,5,-0.054408947155231716,-0.04914356517246735,0.04914356517246735
by_crop,Cebolla china,altura_hojas_cm,T1,T4,INIA,Hidroponika,5,5,12.435720684229365,11.232263843820071,11.232263843820071
by_crop,Cebolla china,altura_hojas_cm,T2,T4,La Molina,Hidroponika,5,5,12.435720684229365,11.232263843820071,11.232263843820071
by_crop,Cebolla china,altura_hojas_cm,T1,T3,INIA,FAO,5,5,8.645015869060007,7.808401430118716,7.808401430118716
by_crop,Cebolla china,altura_hojas_cm,T2,T3,La Molina,FAO,5,5,8.645015869060007,7.808401430118716,7.808401430118716
by_crop,Cebolla china,altura_hojas_cm,T3,T4,FAO,Hidroponika,5,5,4.799808011519231,4.33531046201737,4.33531046201737
by_crop,Cebolla china,altura_hojas_cm,T1,T2,INIA,La Molina,5,5,0.0,0.0,0.0
by_crop,Cebolla china,diametro_cm,T1,T4,INIA,Hidroponika,5,5,12.117745739026468,10.945060667507777,10.945060667507777
by_crop,Cebolla china,diametro_cm,T2,T4,La Molina,Hidroponika,5,5,12.117745739026468,10.945060667507777,10.945060667507777
by_crop,Cebolla china,diametro_cm,T1,T3,INIA,FAO,5,5,9.236347486465698,8.342507407130308,8.342507407130308
by_crop,Cebolla china,diametro_cm,T2,T3,La Molina,FAO,5,5,9.236347486465698,8.342507407130308,8.342507407130308
by_crop,Cebolla china,diametro_cm,T3,T4,FAO,Hidroponika,5,5,4.072981554581526,3.6788220492994426,3.6788220492994426
by_crop,Cebolla china,diametro_cm,T1,T2,INIA,La Molina,5,5,0.0,0.0,0.0
by_crop,Cebolla china,longitud_raiz_cm,T1,T4,INIA,Hidroponika,5,5,12.000349645255815,10.83902548603751,10.83902548603751
