cod_tratamiento,tratamiento,cultivo,PC1,PC2,group_label
T1,INIA SUMAC-YUYAYQUI,Cebolla china,1.9045518757543614,-0.012375990558752476,INIA - Cebolla china
T1,INIA SUMAC-YUYAYQUI,Cebolla china,2.534685797046828,0.1562573261355632,INIA - Cebolla china
T1,INIA SUMAC-YUYAYQUI,Cebolla china,1.4126955801800343,-0.22755842149614458,INIA - Cebolla china
T1,INIA SUMAC-YUYAYQUI,Cebolla china,2.006917476322947,-0.04013816956878317,INIA - Cebolla china
T1,INIA SUMAC-YUYAYQUI,Cebolla china,2.849106868921866,-0.013591628517125235,INIA - Cebolla china
T2,FAO,Cebolla china,1.9045518757543627,-0.012375990558753002,La Molina - Cebolla china
T2,FAO,Cebolla china,2.534685797046828,0.1562573261355632,La Molina - Cebolla china
T2,FAO,Cebolla china,1.4126955801800343,-0.22755842149614458,La Molina - Cebolla china
T2,FAO,Cebolla china,2.006917476322947,-0.040138169568783175,La Molina - Cebolla china
T2,FAO,Cebolla china,2.849106868921866,-0.013591628517125236,La Molina - Cebolla china
T3,LA MOLINA,Cebolla china,-1.2831965704139379,0.16037555397537603,FAO - Cebolla china
T3,LA MOLINA,Cebolla china,-1.7110307157028015,-0.08078978097351415,FAO - Cebolla china
T3,LA MOLINA,Cebolla china,-1.212218312957393,0.1720732405021499,FAO - Cebolla china
T3,LA MOLINA,Cebolla china,-1.8918478999573525,0.009670694363150704,FAO - Cebolla china
T3,LA MOLINA,Cebolla china,-1.2710766145375407,0.17245781955354686,FAO - Cebolla china
T4,HIDROPONIKA,Cebolla china,-2.6686893452721483,-0.11067963863126871,Hidroponika - Cebolla china
T4,HIDROPONIKA,Cebolla china,-2.926489375305337,0.023008852584262534,Hidroponika - Cebolla china
T4,HIDROPONIKA,Cebolla china,-2.428279499371989,0.2717363616007633,Hidroponika - Cebolla china
T4,HIDROPONIKA,Cebolla china,-3.282741099353416,-0.2616837512759291,Hidroponika - Cebolla china
T4,HIDROPONIKA,Cebolla china,-2.740345763580161,-0.08135558368805201,Hidroponika - Cebolla china
