cod_tratamiento,tratamiento,count,mean,std,median,min,max,ranking_peso_fresco
T1,INIA SUMAC-YUYAYQUI,20,209.21999999999997,109.64585863492279,227.5,73.4,390.0,1
T3,LA MOLINA,20,195.24,123.60082779487742,188.0,44.8,412.0,2
T2,FAO,19,185.1578947368421,86.07631185168371,187.0,73.4,331.0,3
T4,HIDROPONIKA,20,163.35999999999999,94.82419411454909,175.5,33.6,289.0,4
T1,FAO,0,,,,,,5
T1,HIDROPONIKA,0,,,,,,6
T1,LA MOLINA,0,,,,,,7
T2,HIDROPONIKA,0,,,,,,8
T2,INIA SUMAC-YUYAYQUI,0,,,,,,9
T2,LA MOLINA,0,,,,,,10
T3,FAO,0,,,,,,11
T3,HIDROPONIKA,0,,,,,,12
T3,INIA SUMAC-YUYAYQUI,0,,,,,,13
T4,FAO,0,,,,,,14
T4,INIA SUMAC-YUYAYQUI,0,,,,,,15
T4,LA MOLINA,0,,,,,,16
